,count
1-vinyl-propyltriethoxysilane-imidazolium,12.580299785867238
glutaraldehyde,10.599571734475374
halloysite_nanotube,10.599571734475374
PAGE,9.582441113490365
PEG,9.582441113490365
ZrO2,9.154175588865096
Im-phenyl-Silsesquioxane,5.674518201284797
diethanediol,5.406852248394004
phenyl-Silsesquioxane,4.282655246252676
hexanedithiol,3.961456102783726
QA-Silsesquioxane,3.961456102783726
Polyvinylbenzyl chloride,3.6937901498929335
Polyvinyl Imidazolium,3.6937901498929335
*CC*,3.3190578158458246
octanedithiol,2.9978586723768736
PE,0.9100642398286938
