Backbone,Cation,Sample,smiles1,smiles2,smiles3,c1,c2,c3,additive_name_1,additive_name_2,additive_smiles1,additive_smiles2,additive_smiles3,additivec1,additivec2,additivec3,solvent,solvent_conc(M),stab_temp,RH(%),lw,Temp(C),EXP_IEC,prop,time(h),value,DOI
Polyphenylele,Im,N/A,Cn5c(c2c(c1ccc(*)cc1)cccc2c3ccc(*)cc3)[n+](C)c4ccccc45.[OH-],*CC*,*CC*,100,0,0,N/A,N/A,*CC*,*CC*,*CC*,0,0,0,N/A,0,N/A,50,0,22,2.56,EB(%),0,49,https://doi.org/10.1002/anie.201511184
Polyphenylele,Im,N/A,Cn5c(c2c(c1ccc(*)cc1)cccc2c3ccc(*)cc3)[n+](C)c4ccccc45.[OH-],*CC*,*CC*,100,0,0,N/A,N/A,*CC*,*CC*,*CC*,0,0,0,N/A,0,N/A,50,0,22,2.56,OHCond(mS/cm),0,13,https://doi.org/10.1002/anie.201511184
Polyphenylele,Im,N/A,Cn5c(c2c(c1ccc(*)cc1)cccc2c3ccc(*)cc3)[n+](C)c4ccccc45.[OH-],*CC*,*CC*,100,0,0,N/A,N/A,*CC*,*CC*,*CC*,0,0,0,N/A,0,N/A,50,0,22,2.56,TS(MPa),0,72,https://doi.org/10.1002/anie.201511184
Polyphenylele,Im,N/A,Cn5c(c2c(c1ccc(*)cc1)cccc2c3ccc(*)cc3)[n+](C)c4ccccc45.[OH-],*CC*,*CC*,100,0,0,N/A,N/A,*CC*,*CC*,*CC*,0,0,0,N/A,0,N/A,50,0,22,,WU(wt%),0,81,https://doi.org/10.1002/anie.201511184
PEEK,TMA,N/A,C[N+](C)(C)CC(O)C[N+](C)(C)Cc1cc(O*)ccc1Oc3ccc(C(=O)c2ccc(*)cc2)cc3.[OH-],Cc3cc(Oc2ccc(C(=O)c1ccc(*)cc1)cc2)ccc3O*,*CC*,53,47,0,N/A,N/A,*CC*,*CC*,*CC*,0,0,0,N/A,0,N/A,100,1,25,1.08,OHCond(mS/cm),0,8.9,https://doi.org/10.1002/cssc.201402664
PEEK,TMA,N/A,C[N+](C)(C)CC(O)C[N+](C)(C)Cc1cc(O*)ccc1Oc3ccc(C(=O)c2ccc(*)cc2)cc3.[OH-],Cc3cc(Oc2ccc(C(=O)c1ccc(*)cc1)cc2)ccc3O*,*CC*,85,15,0,N/A,N/A,*CC*,*CC*,*CC*,0,0,0,N/A,0,N/A,100,1,25,1.23,OHCond(mS/cm),0,9.44,https://doi.org/10.1002/cssc.201402664
PEEK,TMA,N/A,C[N+](C)(C)CC(O)C[N+](C)(C)Cc1cc(O*)ccc1Oc3ccc(C(=O)c2ccc(*)cc2)cc3.[OH-],Cc3cc(Oc2ccc(C(=O)c1ccc(*)cc1)cc2)ccc3O*,*CC*,53,47,0,N/A,N/A,*CC*,*CC*,*CC*,0,0,0,N/A,0,N/A,100,1,30,1.08,OHCond(mS/cm),0,9.66,https://doi.org/10.1002/cssc.201402664
PEEK,TMA,N/A,C[N+](C)(C)CC(O)C[N+](C)(C)Cc1cc(O*)ccc1Oc3ccc(C(=O)c2ccc(*)cc2)cc3.[OH-],Cc3cc(Oc2ccc(C(=O)c1ccc(*)cc1)cc2)ccc3O*,*CC*,67,33,0,N/A,N/A,*CC*,*CC*,*CC*,0,0,0,N/A,0,N/A,100,1,25,,OHCond(mS/cm),0,10,https://doi.org/10.1002/cssc.201402664
PEEK,TMA,N/A,C[N+](C)(C)CC(O)C[N+](C)(C)Cc1cc(O*)ccc1Oc3ccc(C(=O)c2ccc(*)cc2)cc3.[OH-],Cc3cc(Oc2ccc(C(=O)c1ccc(*)cc1)cc2)ccc3O*,*CC*,53,47,0,N/A,N/A,*CC*,*CC*,*CC*,0,0,0,N/A,0,N/A,100,1,40,1.08,OHCond(mS/cm),0,12.66,https://doi.org/10.1002/cssc.201402664
PEEK,TMA,N/A,C[N+](C)(C)CC(O)C[N+](C)(C)Cc1cc(O*)ccc1Oc3ccc(C(=O)c2ccc(*)cc2)cc3.[OH-],Cc3cc(Oc2ccc(C(=O)c1ccc(*)cc1)cc2)ccc3O*,*CC*,67,33,0,N/A,N/A,*CC*,*CC*,*CC*,0,0,0,N/A,0,N/A,100,1,30,,OHCond(mS/cm),0,13.15,https://doi.org/10.1002/cssc.201402664
PEEK,TMA,N/A,C[N+](C)(C)CC(O)C[N+](C)(C)Cc1cc(O*)ccc1Oc3ccc(C(=O)c2ccc(*)cc2)cc3.[OH-],Cc3cc(Oc2ccc(C(=O)c1ccc(*)cc1)cc2)ccc3O*,*CC*,53,47,0,N/A,N/A,*CC*,*CC*,*CC*,0,0,0,N/A,0,N/A,100,1,50,1.08,OHCond(mS/cm),0,14.34,https://doi.org/10.1002/cssc.201402664
PEEK,TMA,N/A,C[N+](C)(C)CC(O)C[N+](C)(C)Cc1cc(O*)ccc1Oc3ccc(C(=O)c2ccc(*)cc2)cc3.[OH-],Cc3cc(Oc2ccc(C(=O)c1ccc(*)cc1)cc2)ccc3O*,*CC*,53,47,0,N/A,N/A,*CC*,*CC*,*CC*,0,0,0,N/A,0,N/A,100,1,60,1.08,OHCond(mS/cm),0,16.22,https://doi.org/10.1002/cssc.201402664
PEEK,TMA,N/A,C[N+](C)(C)CC(O)C[N+](C)(C)Cc1cc(O*)ccc1Oc3ccc(C(=O)c2ccc(*)cc2)cc3.[OH-],Cc3cc(Oc2ccc(C(=O)c1ccc(*)cc1)cc2)ccc3O*,*CC*,53,47,0,N/A,N/A,*CC*,*CC*,*CC*,0,0,0,N/A,0,N/A,100,1,70,1.08,OHCond(mS/cm),0,18.65,https://doi.org/10.1002/cssc.201402664
PEEK,TMA,N/A,C[N+](C)(C)CC(O)C[N+](C)(C)Cc1cc(O*)ccc1Oc3ccc(C(=O)c2ccc(*)cc2)cc3.[OH-],Cc3cc(Oc2ccc(C(=O)c1ccc(*)cc1)cc2)ccc3O*,*CC*,67,33,0,N/A,N/A,*CC*,*CC*,*CC*,0,0,0,N/A,0,N/A,100,1,40,,OHCond(mS/cm),0,20,https://doi.org/10.1002/cssc.201402664
PEEK,TMA,N/A,C[N+](C)(C)CC(O)C[N+](C)(C)Cc1cc(O*)ccc1Oc3ccc(C(=O)c2ccc(*)cc2)cc3.[OH-],Cc3cc(Oc2ccc(C(=O)c1ccc(*)cc1)cc2)ccc3O*,*CC*,53,47,0,N/A,N/A,*CC*,*CC*,*CC*,0,0,0,N/A,0,N/A,100,1,75,1.08,OHCond(mS/cm),0,22.02,https://doi.org/10.1002/cssc.201402664
PEEK,TMA,N/A,C[N+](C)(C)CC(O)C[N+](C)(C)Cc1cc(O*)ccc1Oc3ccc(C(=O)c2ccc(*)cc2)cc3.[OH-],Cc3cc(Oc2ccc(C(=O)c1ccc(*)cc1)cc2)ccc3O*,*CC*,85,15,0,N/A,N/A,*CC*,*CC*,*CC*,0,0,0,N/A,0,N/A,100,1,40,1.23,OHCond(mS/cm),0,23.33,https://doi.org/10.1002/cssc.201402664
PEEK,TMA,N/A,C[N+](C)(C)CC(O)C[N+](C)(C)Cc1cc(O*)ccc1Oc3ccc(C(=O)c2ccc(*)cc2)cc3.[OH-],Cc3cc(Oc2ccc(C(=O)c1ccc(*)cc1)cc2)ccc3O*,*CC*,67,33,0,N/A,N/A,*CC*,*CC*,*CC*,0,0,0,N/A,0,N/A,100,1,50,,OHCond(mS/cm),0,24.82,https://doi.org/10.1002/cssc.201402664
PEEK,TMA,N/A,C[N+](C)(C)CC(O)C[N+](C)(C)Cc1cc(O*)ccc1Oc3ccc(C(=O)c2ccc(*)cc2)cc3.[OH-],Cc3cc(Oc2ccc(C(=O)c1ccc(*)cc1)cc2)ccc3O*,*CC*,67,33,0,N/A,N/A,*CC*,*CC*,*CC*,0,0,0,N/A,0,N/A,100,1,60,,OHCond(mS/cm),0,30,https://doi.org/10.1002/cssc.201402664
PEEK,TMA,N/A,C[N+](C)(C)CC(O)C[N+](C)(C)Cc1cc(O*)ccc1Oc3ccc(C(=O)c2ccc(*)cc2)cc3.[OH-],Cc3cc(Oc2ccc(C(=O)c1ccc(*)cc1)cc2)ccc3O*,*CC*,85,15,0,N/A,N/A,*CC*,*CC*,*CC*,0,0,0,N/A,0,N/A,100,1,50,1.23,OHCond(mS/cm),0,32.04,https://doi.org/10.1002/cssc.201402664
PEEK,TMA,N/A,C[N+](C)(C)CC(O)C[N+](C)(C)Cc1cc(O*)ccc1Oc3ccc(C(=O)c2ccc(*)cc2)cc3.[OH-],Cc3cc(Oc2ccc(C(=O)c1ccc(*)cc1)cc2)ccc3O*,*CC*,67,33,0,N/A,N/A,*CC*,*CC*,*CC*,0,0,0,N/A,0,N/A,100,1,70,,OHCond(mS/cm),0,36.67,https://doi.org/10.1002/cssc.201402664
PEEK,TMA,N/A,C[N+](C)(C)CC(O)C[N+](C)(C)Cc1cc(O*)ccc1Oc3ccc(C(=O)c2ccc(*)cc2)cc3.[OH-],Cc3cc(Oc2ccc(C(=O)c1ccc(*)cc1)cc2)ccc3O*,*CC*,67,33,0,N/A,N/A,*CC*,*CC*,*CC*,0,0,0,N/A,0,N/A,100,1,75,,OHCond(mS/cm),0,44.82,https://doi.org/10.1002/cssc.201402664
PEEK,TMA,N/A,C[N+](C)(C)CC(O)C[N+](C)(C)Cc1cc(O*)ccc1Oc3ccc(C(=O)c2ccc(*)cc2)cc3.[OH-],Cc3cc(Oc2ccc(C(=O)c1ccc(*)cc1)cc2)ccc3O*,*CC*,53,47,0,N/A,N/A,*CC*,*CC*,*CC*,0,0,0,N/A,0,N/A,100,1,25,,Swelling(%),0,22.99,https://doi.org/10.1002/cssc.201402664
PEEK,TMA,N/A,C[N+](C)(C)CC(O)C[N+](C)(C)Cc1cc(O*)ccc1Oc3ccc(C(=O)c2ccc(*)cc2)cc3.[OH-],Cc3cc(Oc2ccc(C(=O)c1ccc(*)cc1)cc2)ccc3O*,*CC*,53,47,0,N/A,N/A,*CC*,*CC*,*CC*,0,0,0,N/A,0,N/A,100,1,30,,Swelling(%),0,23.04,https://doi.org/10.1002/cssc.201402664
PEEK,TMA,N/A,C[N+](C)(C)CC(O)C[N+](C)(C)Cc1cc(O*)ccc1Oc3ccc(C(=O)c2ccc(*)cc2)cc3.[OH-],Cc3cc(Oc2ccc(C(=O)c1ccc(*)cc1)cc2)ccc3O*,*CC*,53,47,0,N/A,N/A,*CC*,*CC*,*CC*,0,0,0,N/A,0,N/A,100,1,50,,Swelling(%),0,23.24,https://doi.org/10.1002/cssc.201402664
PEEK,TMA,N/A,C[N+](C)(C)CC(O)C[N+](C)(C)Cc1cc(O*)ccc1Oc3ccc(C(=O)c2ccc(*)cc2)cc3.[OH-],Cc3cc(Oc2ccc(C(=O)c1ccc(*)cc1)cc2)ccc3O*,*CC*,53,47,0,N/A,N/A,*CC*,*CC*,*CC*,0,0,0,N/A,0,N/A,100,1,40,,Swelling(%),0,23.43,https://doi.org/10.1002/cssc.201402664
PEEK,TMA,N/A,C[N+](C)(C)CC(O)C[N+](C)(C)Cc1cc(O*)ccc1Oc3ccc(C(=O)c2ccc(*)cc2)cc3.[OH-],Cc3cc(Oc2ccc(C(=O)c1ccc(*)cc1)cc2)ccc3O*,*CC*,53,47,0,N/A,N/A,*CC*,*CC*,*CC*,0,0,0,N/A,0,N/A,100,1,60,,Swelling(%),0,27.75,https://doi.org/10.1002/cssc.201402664
PEEK,TMA,N/A,C[N+](C)(C)CC(O)C[N+](C)(C)Cc1cc(O*)ccc1Oc3ccc(C(=O)c2ccc(*)cc2)cc3.[OH-],Cc3cc(Oc2ccc(C(=O)c1ccc(*)cc1)cc2)ccc3O*,*CC*,53,47,0,N/A,N/A,*CC*,*CC*,*CC*,0,0,0,N/A,0,N/A,100,1,70,,Swelling(%),0,29.9,https://doi.org/10.1002/cssc.201402664
PEEK,TMA,N/A,C[N+](C)(C)CC(O)C[N+](C)(C)Cc1cc(O*)ccc1Oc3ccc(C(=O)c2ccc(*)cc2)cc3.[OH-],Cc3cc(Oc2ccc(C(=O)c1ccc(*)cc1)cc2)ccc3O*,*CC*,67,33,0,N/A,N/A,*CC*,*CC*,*CC*,0,0,0,N/A,0,N/A,100,1,25,,Swelling(%),0,30.13,https://doi.org/10.1002/cssc.201402664
PEEK,TMA,N/A,C[N+](C)(C)CC(O)C[N+](C)(C)Cc1cc(O*)ccc1Oc3ccc(C(=O)c2ccc(*)cc2)cc3.[OH-],Cc3cc(Oc2ccc(C(=O)c1ccc(*)cc1)cc2)ccc3O*,*CC*,67,33,0,N/A,N/A,*CC*,*CC*,*CC*,0,0,0,N/A,0,N/A,100,1,30,,Swelling(%),0,30.13,https://doi.org/10.1002/cssc.201402664
PEEK,TMA,N/A,C[N+](C)(C)CC(O)C[N+](C)(C)Cc1cc(O*)ccc1Oc3ccc(C(=O)c2ccc(*)cc2)cc3.[OH-],Cc3cc(Oc2ccc(C(=O)c1ccc(*)cc1)cc2)ccc3O*,*CC*,67,33,0,N/A,N/A,*CC*,*CC*,*CC*,0,0,0,N/A,0,N/A,100,1,40,,Swelling(%),0,30.13,https://doi.org/10.1002/cssc.201402664
PEEK,TMA,N/A,C[N+](C)(C)CC(O)C[N+](C)(C)Cc1cc(O*)ccc1Oc3ccc(C(=O)c2ccc(*)cc2)cc3.[OH-],Cc3cc(Oc2ccc(C(=O)c1ccc(*)cc1)cc2)ccc3O*,*CC*,67,33,0,N/A,N/A,*CC*,*CC*,*CC*,0,0,0,N/A,0,N/A,100,1,50,,Swelling(%),0,30.13,https://doi.org/10.1002/cssc.201402664
PEEK,TMA,N/A,C[N+](C)(C)CC(O)C[N+](C)(C)Cc1cc(O*)ccc1Oc3ccc(C(=O)c2ccc(*)cc2)cc3.[OH-],Cc3cc(Oc2ccc(C(=O)c1ccc(*)cc1)cc2)ccc3O*,*CC*,53,47,0,N/A,N/A,*CC*,*CC*,*CC*,0,0,0,N/A,0,N/A,100,1,75,,Swelling(%),0,32.62,https://doi.org/10.1002/cssc.201402664
